,EAR,TIME
0,0.39029664555390997,0
1,0.37339275002084477,1
2,0.3687421945611885,2
3,0.3794429163001187,3
4,0.3919092148364137,4
5,0.39052463456344133,5
6,0.3919092148364137,6
7,0.38711916942983793,7
8,0.3713370204664652,8
9,0.39254790993991046,9
10,0.39172744786445163,10
11,0.3853573581366369,11
12,0.3947966829302435,12
13,0.3947966829302435,13
14,0.38323042588544115,14
15,0.402502348742283,15
16,0.4087500231743708,16
17,0.4006897650147203,17
18,0.3792003147714484,18
19,0.3924771231573184,19
20,0.3723007576307129,20
21,0.370719071827027,21
22,0.3811555215375595,22
23,0.37911212421992446,23
24,0.357291513108293,24
25,0.36384318916027647,25
26,0.3745320966073069,26
27,0.38345109706559766,27
28,0.3993856769103774,28
29,0.38345497923541005,29
30,0.3642542954990131,30
31,0.3641492328758069,31
32,0.39395225669820433,32
33,0.36555477268271347,33
34,0.357291513108293,34
35,0.36601461666801927,35
36,0.3746515614171414,36
37,0.3746515614171414,37
38,0.3680785095759805,38
39,0.3594629406160358,39
40,0.34321912415293315,40
41,0.34321912415293315,41
42,0.2714418542488744,42
43,0.2896939105692535,43
44,0.17078157276451922,44
45,0.178910626808912,45
46,0.21693566155867186,46
